street,zip_code
Улица Михаила Худякова,420021
Улица Мичурина,420105
Переулок Мичурина (Киндери),420075
Улица Мичурина (Киндери),420075
Модельная улица,420054
Улица Можайского,420004
Можжевеловая улица,420064
Улица Моисеева,420091
Улица Молдавская (Кировский р-н),420076
Улица Молдавская (Приволжский р-н),420005
Молодежная улица,420127
Улица Молодежная (Новая Сосновка),420056
Улица Молодежная (Отары),420005
Улица Молодежная (Салмачи),420129
Улица Молодежная (Щербаково),420099
Молодежный переулок,420127
Молодецкая улица,420101
Молодецкий переулок,420101
Молодогвардейская улица,420078
Улица Молодости,420055
Монтажная улица,420094
Мостовая улица,420054
Улица Мостовиков (Новая Сосновка),420056
Моторная улица,420105
Музыкальная улица,420033
Улица Мулланура Вахитова,420034
Улица Мусы Джалиля,420111
Улица Мянгелек,420129
Набережная улица,420071
Улица Набережная (Аки),420075
Улица Набережная (Кировский р-н),420030
Улица Набережная (Кульсеитово),420096
Улица Набережная (Отары),420005
Улица Набережная Казанки,420111
Улица Наби Даули,420070
Улица Нагорная (Кадышево),420099
Улица Нагорная (Киндери),420075
Улица Нагорная (Новая Сосновка),420056
Надеждинская улица,420055
Улица Надежды Тимашовой,420055
Надпойменная улица,420055
Улица Назлы (Вознесенское),420140
Улица Наиля Юсупова,420076
Улица Наки Исанбета,420073
Наклонная улица,420140
Улица Намус (Салмачи),420129
Улица Наратлы (Новая Сосновка),420056
Улица Нардуган (Вознесенье),420140
Улица Нариманова,420021
Улица Наставников,420129
Насыпная улица,420032
Улица Натана Рахлина,420083
Улица Науруз (Красно-Октябрьское лесн-во),420051
Научный городок,420075
Улица Нахимовский Овраг,420097
Начальная улица,420075
Небесная улица,420075
Улица Невельского,420049
Улица Некрасова,420012
Нестеровская улица,420097
Улица Нестеровский Овраг,420097
Улица Нестеровский Спуск,420097
Улица Нигматуллина,421001
Нижнекамская улица,420054
Нижнекамская 2-я улица,420054
Нижнетагильская улица,420055
Нижнетагильский переулок,420055
Нижняя улица,420078
Нижняя Торфяная улица,420066
Низенькая улица,420012
Низовая улица,420102
Улица Николаева,420107
Улица Николая Заболоцкого,420129
Улица Николая Загоскина,420083
Улица Николая Столбова,420021
Улица Николая Фешина,420070
Улица Новаторов,420061
Улица Новая (Большие Дербышки),420096
Улица Новая (Борисоглебское),420098
Улица Новая (Кадышево),420099
Улица Новая (Салмачи),420129
Улица Новая (Щербаково),420099
Новгородская улица,420079
Новгородский переулок,420079
Улица Новинка,420055
Ново-Аракчинская улица,420079
Ново-Вахитовская улица,420021
Ново-Давликеевская улица,420055
Ново-Караваевская улица,420037
Ново-Квартальная улица,420066
Ново-Осиновская улица,420076
Ново-Осиновская 2-я улица,420076
Ново-Осиновская 3-я улица,420076
Ново-Песочная улица,420107
Ново-Пугачевская улица,420097
Ново-Светлая улица,420004
Ново-Слободская улица,420030
Ново-Юдинская улица,420077
Новороссийская улица,420077
Улица Новоселова,420076
Новосельская улица,420055
Новосельская 10-я улица,420055
Новосельская 12-я улица,420055
Новосельская 2-я улица,420055
Новосельская 3-я улица,420055
Новосельская 4-я улица,420055
Новосельская 5-я улица,420055
Новосельская 6-я улица,420055
Новосельская 7-я улица,420055
Новосельская 8-я улица,420055
Новосельская 9-я улица,420055
Новоселья улица,420100
Улица Новостройки,420079
Ногинская улица,420105
Улица Ноксинская (Константиновка),420083
Ноксинская 1-я улица,420053
Ноксинская 2-я улица,420053
Ноксинская 3-я улица,420053
Ноксинская 4-я улица,420053
Ноксинский переулок,420140
Переулок Ноксинский 1-й (Вознесенское),420140
Переулок Ноксинский 2-й (Вознесенское),420140
Переулок Ноксинский 4-й (Вознесенское),420140
Переулок Ноксинский 5-й (Вознесенское),420140
Переулок Ноксинский 6-й (Вознесенское),420140
Переулок Ноксинский 7-й (Вознесенское),420140
Улица Ноксинский Спуск,420140
Улица Нура Баяна,420021
Улица Нурихана Фаттаха,420076
Нурлатская улица,420037
Нурлатский переулок,420037
Улица Нурлы (Восточный),420129
Улица Нэфис,420064
Улица Обновления,420140
Улица Обнорского,420036
Оборонная улица,420088
Улица Обочная (Щербаково),420099
Объединенная улица,420079
Овражная улица,420012
Улица Овражная (Аки),420075
Улица Овражная (Салмачи),420129
Улица Огарева,420036
Одесская улица,420097
Улица Односторонка Гривки,420066
Односторонка Ноксинская улица,420053
Переулок Односторонки Гривки,420066
Односторонняя Луговая улица,420098
Односторонняя Парковая улица,420078
Одноэтажная улица,420102
Улица Озерная (Борисоглебское),420098
Улица Озерная (Татваленка),420070
Территория Озеро Глубокое,420004
Территория Озеро Лебяжье,420004
Окраинная улица,420078
Окружная улица,420075
Улица Окружная (Дербышки),420096
Окская улица,420076
Улица Октябрьская (Борисоглебское),420098
Территория Октябрьский городок,420061
Улица Олега Кошевого,420127
Улица Олега Лундстрема,420064
Олонецкая улица,420088
Ольховая улица,420099
Онежская улица,420055
Оранжерейная улица,420005
Ореховая улица,420129
Ореховый переулок,420079
Орловская улица,420108
Улица Оружейников,420076
Осиновая улица,420099
Осиновская улица,420076
Осиновский переулок,420076
Улица Осипенко,420102
Отарская 1-я улица,420005
Отарская 2-я улица,420005
Отарская 3-я улица,420005
Отарская 4-я улица,420005
Отарская 5-я улица,420005
Отарская 6-я улица,420005
Отарская 8-я улица,420005
Отарский переулок,420005
Отдаленная 1-я улица,420056
Улица Отдыха,420075
Откосная улица,420053
Отрадная улица,420087
Офицерская улица,420101
Охотничья улица,420054
Охотская улица,420097
Улица Павлика Морозова,420032
Параллельная улица,420079
Параллельно-Кисловодская улица,420005
Параллельно-Прогонная улица,420005
Паратская улица,420076
Улица Парканат,420140
Парниковая улица,420005
Улица Паровозников,420076
Партизанская улица,420039
Пасечная улица,420070
Пензенская улица,420101
Первого Мая улица,420032
Первомайский переулок,420078
Переселенческая улица,420053
Пермская улица,420094
Пермская 1-я улица,420091
Пермская 2-я улица,420091
Песенная улица,420076
Песочная улица,420098
Улица Песочная (Карьер),420053
Песочный переулок,420098
Песчаная улица,420098
Петербургская улица,420107
Улица Петра Алексеева,420061
Улица Петра Баранова,420098
Пехотная улица,420043
Пехотный переулок,420043
Пешеходная улица,420056
Пилотская улица,420102
Пионерская улица,420029
Улица Пионерская (Новая Сосновка),420071
Пихтовая улица,420098
Плодовая улица,420105
Плужная улица,420076
Победиловская 1-я улица,420005
Победиловская 2-я улица,420005
Победиловская 3-я улица,420005
Победиловская 4-я улица,420005
Победиловская 5-я улица,420005
Переулок Побежимова,420036
Повстанческая улица,420102
Пограничная улица,420076
Подгорная улица,420049
Подгорная 2-я улица,420049
Подлесная улица,420055
Подлужная улица,420015
Подольская улица,420055
Подорожная улица,420070
Подъемная улица,420053
Пожарная улица,420054
Переулок Пожарского,420091
Полевая улица,420102
Улица Полевая (Большие Клыки),420025
Улица Полевая (Вознесенское),420140
Полесская улица,420076
Политехническая улица,420078
Пологая улица,420055
Полонная улица,420054
Полоцкая улица,420076
Полянская улица,420094
Полярная улица,420105
Поперечно-Авангардная улица,420054
Поперечно-Азинская улица,420088
Поперечно-Беломорская улица,420047
Поперечно-Березниковская улица,420055
Поперечно-Боевая улица,420030
Поперечно-Большая улица,420098
Поперечно-Гривская улица,420066
Поперечно-Давликеевская улица,420055
Поперечно-Дорожная 1-я улица,420056
Поперечно-Дорожная 2-я улица,420056
Поперечно-Дорожная 3-я улица,420056
Поперечно-Дорожная 4-я улица,420056
Поперечно-Дорожная 5-я улица,420056
Поперечно-Дорожная 6-я улица,420056
Поперечно-Дорожная 7-я улица,420056
Поперечно-Дорожная 9-я улица,420056
Поперечно-Кабанная улица,420054
Поперечно-Карагандинская 1-я улица,420037
Поперечно-Карагандинская 2-я улица,420037
Поперечно-Колхозная улица,420098
Поперечно-Красноборская улица,420079
Поперечно-Крымская улица,420105
Поперечно-Кукушкинская улица,420005
Поперечно-Лагерная улица,420030
Поперечно-Малокабанная улица,420054
Поперечно-Мирная улица,420136
Поперечно-Молодежная улица,420005
Поперечно-Мостовая улица,420054
Поперечно-Ноксинская улица,420053
Поперечно-Осенняя 1-я улица,420056
Поперечно-Осенняя 2-я улица,420056
Поперечно-Отарская улица,420005
Поперечно-Подлужная улица,420015
Поперечно-Прогонная улица,420005
Поперечно-Равнинная улица,420079
Поперечно-Резвая улица,420055
Поперечно-Резвая 2-я улица,420055
Поперечно-Слободская улица,420097
Поперечно-Сормовская улица,420054
Поперечно-Таловая улица,420053
Поперечно-Тальниковая улица,420079
Поперечно-Центральная улица,420097
Поперечно-Чебоксарская улица,420105
Пороховая улица,420076
Портовая улица,420108
Поселковый переулок,420079
Потребительская улица,420097
Улица Поэта Каменева,420096
Улица Правды (Дербышки),420075
Право-Булачная улица,420111
Улица Правосудия,420034
Праздничный переулок,420140
Прибольничная улица,420075
Приборная улица,420105
Прибрежная улица,420054
Прибрежный переулок,420079
Приветливая улица,420070
Привокзальная площадь,420021
Привокзальная улица,420078
Улица Приволжская (Отары),420005
Привольная улица,420083
Привольная 1-я улица,420043
Привольная 2-я улица,420043
Пригородная улица,420054
Придорожная улица,420098
Придорожная улица,420098
Приовражная 1-я улица,420055
Приовражная 2-я улица,420055
Приозерная улица,420005
Прирельсовая улица,420079
Приречный переулок,420129
Улица Пришвина,420047
Пришкольный переулок,420077
Прогонная улица,420005
Продольная улица,420071
Продольно-Кукушкинская улица,420005
Проезжая улица,420030
Производственная улица,420098
Улица Производственная (Борисоглебское),420098
Пролетарская улица,420032
Улица Пролетарская (Сухая река),420098
Промысловая улица,420054
Промышленная улица,420098
Проселочная улица,420005
Просторная улица,420055
Улица Профессора Альтшулера,420055
Профессора Камая улица,420101
Улица Профессора Мухамедьярова,420039
Улица Профессора Нужина,420111
Улица Профессоров Котельниковых,420055
Профессорский переулок,420012
Улица Профсоюзная (Вознесенское),420140
Проходный переулок,420030
Прудная улица,420076
Пугачевская улица,420097
Улица Рабочая (Киндери),420075
Улица Рабочая (Малые Клыки),420025
Улица Рабочая 2-я (Борисоглебское),420098
Улица Рабочая 2-я (Киндери),420075
Рабочая 3-я улица,420098
Улица Рабочей Молодежи,420097
Равнинная улица,420079
Радиальная улица,420070
Улица Радистов,420088
Улица Радищева,420108
Радужная улица,420140
Радушная улица,420083
Раздольная улица,420071
Улица Раздольная (Новая Сосновка),420071
Раздольный переулок,420129
Улица Райниса,420036
Райская улица,420083
Ракетная улица,420097
Рассветный переулок,420129
Переулок Раушан,420139
Улица Раушан,420139
Улица Рахима Саттара,420055
Улица Рахимова,420006
Улица Рахматуллина,420111
Улица Рашида Вагапова,420100
Улица Рашида Нежметдинова,420083
Революционная улица,420078
Революционный переулок,420078
Ремесленная улица,420043
Улица Репина,420033
Речная улица,420030
Речная улица,420030
Улица Речная (Борисоглебское),420098
Улица Речная (Щербаково),420099
Рижская улица,420085
Улица Ризаэтдина Фахретдина,420055
Улица Рихарда Зорге (Кадышево),420099
Родниковая улица,420076
Улица Роз,420139
Улица Ромашек,420139
Ромашковая улица,420096
Роторная улица,420059
Рощинская улица,420055
Рубежная улица,420055
Рубежная 2-я улица,420055
Рубежная 3-я улица,420055
Рубежная 4-я улица,420055
Рубежная 5-я улица,420055
Рубиновая улица,420047
Рудная улица,420056
Улица Рудольфа Нуреева,420064
Русловая улица,420054
Улица Рустема Яхина,420111
Ручьевая улица,420070
Рыбацкая улица,420055
Рыбная улица,420100
Улица Рылеева,420087
Рыночная улица,420036
Рядовая 1-я улица,420055
Рядовая 2-я улица,420055
Улица Сабантуй,420129
Улица Сабит,420141
Территория Сад 2 АО КВЗ,420000
Улица Садовая (Аки),420075
Улица Садовая (Большие Клыки),420025
Улица Садовая (Борисоглебское),420098
Улица Садовая (Петровский),420070
Улица Садовая (Старое Победилово),420005
Улица Садовая (Татваленка),420070
Улица Садовая (Щербаково),420099
Улица Садовая(Аметьево),420105
Улица Садри Максуди,420070
Территория Сады Азино,420073
Территория Сады Аэропорт,420073
Территория Сады Ветеран войны,420073
Территория Сады Зеленый,420073
Территория Сады Нефтеразведчик,420073
Территория Сады Нокса,420073
Территория Сады Совет,420073
Территория Сады Энергетик-2,420073
Улица Сазлы,420076
Улица Саид-Галеева,420111
Улица Сайдаша,420129
Улица Салавата Юлаева,420073
Улица Салиха Батыева,420129
Улица Салиха Курбангалиева,420055
Переулок Салиха Сайдашева,420129
Самарская улица,420004
Улица Саммера,420015
Улица Самодеятельности,420056
Переулок Саначина,420015
Сарапульская улица,420047
Улица Сардара Ваисова,420030
Улица Сафина,420076
Улица Сафлык,420088
Улица Сафьян,420021
Сахалинская улица,420098
Сборная улица,420097
Светлая улица,420033
Улица Светлая (Аки),420075
Светозарная улица,420096
Свияжская улица,420076
Свободная улица,420055
Свободный переулок,420055
Площадь Свободы,420060
Улица Свободы,420070
Улица Связистов,420029
Связная улица,420140
Территория СДТ КАПО-8,422700
Территория Сдт Меховщик,420000
Территория Сдт Наука,420000
Территория сдт Победа,420005
Территория Сдт Спартак,420000
Территория СДТ Чайка,420077
Территория СДТ Элекон-2,422700
Севастопольская улица,420101
Северо-Западная улица,420051
Селекционная улица,420059
Улица Селькоров,420055
Селянская улица,420076
Семейная улица,420083
Семидворная улица,420054
Семиозерская улица,420094
Сентябрьская улица,420047
Улица Сергея Лазо,420088
Улица Сердаш,420076
Серебряная улица,420129
Улица Серп и Молот,420030
Серпуховская улица,420033
Улица Сеченова,420061
Улица Сибай,420070
Сибирский переулок,420061
Улица Сиенеч,420139
Силикатная улица,420094
Симбирская улица,420076
Симферопольская улица,420047
Сиреневая улица,420077
Улица Сиреневая (Новая Сосновка),420056
Сквозная улица,420097
Складская улица,420054
Скороходная улица,420056
Улица Скрябина,420087
Славная улица,420139
Славянская улица,420076
Слесарная улица,420030
Слободская улица,420032
Смежная улица,420139
Смоленская улица,420047
Улица Смычки,420032
Снайперская улица,420140
Снежная улица,420139
Территория СНТ 1 ОАО КМПО,420036
Территория СНТ 3 ТЭЦ-2,420000
Территория СНТ Березка,420073
Территория СНТ Березка (Кутузова),420047
Территория СНТ Березовая роща (Балканская),420055
Территория СНТ Березовая роща (Ново-Давликеевская),420000
Территория СНТ Ветеран КАПО им С.П.Горбунова,420036
Территория СНТ Залив,420000
Территория СНТ им Воровского,420039
Территория СНТ Инвалидов и пенсионеров,420000
Улица СНТ Нарцисс,420005
Территория СНТ Ноксинское,420073
СНТ Овощник-1,420083
Территория СНТ Рассвет,420073
Территория СНТ Сад Казанского железнодорожного узла,420105
Территория снт Садовод,420000
СНТ Садовод 11,422700
СНТ Сирень,420091
Территория снт Татарстан,420021
СНТ Фотон,422704
Территория СНТ Ягодка,420000
Улица Собинова,420047
Улица Советская (Большие Дербышки),420096
Улица Советская (Борисоглебское),420098
Улица Советская (Кадышево),420099
Улица Советская (Константиновка),420083
Совнархозовская улица,420094
Совхозный переулок,420076
Солдатская улица,420066
Улица Солидарности,420071
Соликамская улица,420047
Солнечная улица,420033
Улица Солнечная (Салмачи),420129
Солнечный переулок,420033
Соловьиная улица,420051
Улица Соревнования,420105
Сормовская улица,420054
Сормовский переулок,420054
Сортировочная улица,420078
Улица Сосновая (Аки),420075
Улица Сосновая (Петровский),420070
Сосновая 1-я улица,420098
Сосновая 2-я улица,420075
Софийская улица,420077
Улица Софьи Ковалевской,420091
Социалистическая улица,420036
Союзная 10-я улица,420039
Спортивная улица,420073
Территория СТ Дружба-1,420073
Территория СТ Родник-4,420075
Ставропольская улица,420047
Стадионная улица,420075
Улица Станиславского,420036
Станционная 1-я улица,420053
Станционная 2-я улица,420053
Станционная 3-я улица,420053
Станционная 4-я улица,420053
Станционная 5-я улица,420053
Улица Станюковича,420079
Старательный переулок,420140
Старая улица,420012
Старо-Аметьевская улица,420049
Старо-Аракчинская улица,420079
Старо-Пугачевская улица,420097
Старообрядческая улица,420012
Улица Степана Разина,420073
Улица Степана Халтурина,420032
Улица Степная (Борисоглебское),420098
Улица Степная (Киндери),420075
Улица Степная (Новая Сосновка),420056
Улица Стожки,420076
Столбищенская 1-я улица,420005
Улица Столярова,420030
Улица Строителей (Борисоглебское),420098
Строительная улица,420088
Улица Стройная (Салмачи),420129
Студеная улица,420105
Улица Су Анасы,420079
Суконная улица,420043
Улица Сулеймановой,420034
Улица Султана Габаши,420064
Сумская улица,420047
Улица Сурикова,420105
Сухая улица,420098
Сухорецкая улица,420098
Улица Сухорецкая (Борисоглебское),420098
Улица Сухуми,420047
Счастливая улица,420055
Сызранская улица,420101
Улица Табейкина,420032
Тагаевская улица,420088
Таганрогская улица,420076
Таежная улица,420056
Таежная 1-я улица,420056
Таежная 2-я улица,420056
Таймырская улица,420036
Таловая улица,420053
Тальниковая улица,420079
Тальниковый переулок,420079
Тамбовская улица,420127
Улица Тамчы,420129
Улица Тан,420076
Танковая улица,420101
Улица Тансык,420076
Улица Таныш,420140
Улица Тар Урам,420036
Улица Тасма,420076
Улица Татарстан,420021
Улица Татарстан (Кадышево),420099
Улица Татарстан (Малые Клыки),420025
Улица Таулы,420129
Улица Ташаяк,420111
Улица Ташлы,420076
Переулок Ташлык,420140
Тбилисская улица,420047
Тверская улица,420034
Театральная улица,420111
Улица Телецентра,420004
Улица Тельмана,420111
Тенистый переулок,420096
Теньковская улица,420005
Теплично-комбинатская улица,420036
Улица Тепловозников,420078
Терновая улица,420075
Территория вокзала,420021
Тетюшская улица,420076
Техническая улица,420054
Улица Тигез,420129
Улица Тимер Юл,420021
Улица Тимирязева,420036
Тихая улица,420097
Улица Тихая (Салмачи),420129
Тихвинская улица,420129
Тихогорская улица,420105
Улица Тихомирнова,420107
Тихорецкая улица,420054
Тихорецкая 2-я улица,420054
Тобольская улица,420055
Товарищеская улица,420097
Токарная улица,420033
Улица Толбухина,420073
Улица Толстого (Кадышево),420099
Томская улица,420055
Тополевая улица,420075
Торговая улица,420077
Улица Тормыш,420088
Торфяная улица,420053
Травная улица,420088
Тракторная улица,420054
Тракторная 1-я улица,420054
Тракторная 2-я улица,420054
Тракторная 3-я улица,420054
Тракторная 4-я улица,420054
Трамвайная улица,420127
Транспортная улица,420094
Трансформаторная улица,420075
Улица Тренева,420047
Улица Труда,420034
Трудовая улица,420025
Улица Трудящихся,420075
Улица Тугай,420096
Улица Туганлык,420025
Улица Тузганак,420140
Улица Тулпар,420081
Тульская улица,420054
Туманная улица,420140
Тупиковая улица,420070
Улица Туполева,420096
Турбинная улица,420054
Улица Тургай,420088
Туринская улица,420101
Туринская 2-я улица,420101
Туристическая улица,420077
Туристический переулок,420077
Улица Турского,420047
Улица Туры,420140
Улица Туфана Миннуллина,420107
Тушинская улица,420101
Улица Тылсым,420075
Улица Тыныч,420100
Площадь Тысячелетия,420111
Улица Тюленина,420047
Тюлячинская улица,420100
Улица Тюлячинская (Большие Клыки),420100
Тюменская улица,420054
Тюменский переулок,420054
Угловая улица,420070
Узенькая улица,420030
Узорная улица,420076
Узорный переулок,420076
Переулок Узянле,420076
Улица Узянле,420076
Укромный переулок,420129
Улица Ульяны Громовой,420036
Умырзая улица,420083
Проспект Универсиады,420010
Университетская улица,420111
Улица Уныш,420064
Улица Уракчи,420129
Уржумская улица,420101
Улица Урицкого,420030
Переулок Урмале,420129
Улица Урман,420051
Улица Урманлы,420064
Урожайная улица,420101
Урожайный переулок,420101
Улица Уртак,420141
Услонская улица,420005
Улица Услонская (Малые Дербышки),420096
Улица Успенского,420047
Уссурийская улица,420077
Уссурийский переулок,420077
Улица Утренняя (Киндери),420071
Улица Утренняя (Новая Сосновка),420071
Уфимская улица,420029
Уютная улица,420064
Фабричная улица,420102
Улица Файзрахмана Юнусова,420129
Улица Фаткуллина,420021
Улица Фатыха Карима,420021
Федосеевская улица,420111
Ферганская улица,420078
Территория Ферма-2,420011
Улица Фермское Шоссе,420054
Фиалковая улица,420129
Фигурная улица,420053
Физкультурная улица,420087
Улица Фикрята Табеева,420083
Филиальная улица,420094
Улица Фонвизина,420087
Фруктовая улица,420087
Улица Фрунзе,420033
Футбольная улица,420077
Улица Хади Атласи,420043
Улица Халева,420059
Улица Халезова,420075
Улица Халитова,420088
Улица Хасана Туфана,420039
Хвойная улица,420096
Проезд Хезмэт,420083
Хибинская улица,420076
Химическая улица,420051
Хлебозаводская улица,420006
Холмовая улица,420054
Хороводная улица,420097
Улица Хусаина Мавлютова,420101
Улица Хыял,420064
Цветной переулок,420129
Цветочная улица,420054
Улица Цветочная (Вознесенское),420140
Целинная улица,420101
Улица Центральная (Вознесенское),420140
Улица Центральная (Голубое Озеро),420099
Улица Центральная (Константиновка),420083
Улица Центральная (Краснооктябрьский),420051
Улица Центральная (Крутушка),420130
Улица Центральная (Отары),420005
Улица Центральная (Петровский),420070
Улица Центральная (Татваленка),420070
Улица Центральная (Щербаково),420099
Центрально-Отарская улица,420005
Центрально-Торфяная улица,420053
Цимлянская улица,420073
Улица Чайковского,420127
Улица Чапаева (Кадышево),420099
Улица Чаткы,420070
Чебоксарская улица,420105
Челнинская улица,420073
Улица Челюскинцев,420037
Черемховская улица,420078
Черемшановая улица,420140
Черепичная улица,420087
Черниговская улица,420055
Черничный переулок,420070
Черногорская улица,420078
Черноморская улица,420066
Черноозерская улица,420055
Улица Чернопенье,420083
Черноплодная улица,420129
Чернопрудная улица,420070
Переулок Чернышевского,420077
Улица Чернышевского,420111
Улица Черняховского,420047
Улица Чехова (Кадышево),420099
Улица Чингиза Айтматова,420140
Улица Чирямле,420129
Чистая улица,420064
Чистоозерская улица,420030
Читинская улица,420047
Улица Чишмяле,420140
Улица Чкалова,420102
Чугуевская улица,420047
Чукотская улица,420078
Улица Чулпан,420096
Улица Чунтонова,420139
Чусовая улица,420079
Улица Шавалиева,420025
Улица Шавкат,420076
Улица Шагиахмета Алкина,420064
Улица Шадрина,420036
Улица Шамиля Усманова,420095
Улица Шатлык (Новая Сосновка),420056
Улица Шатлык (Царицыно),420056
Шатурская 2-я улица,420047
Улица Шаумяна,420047
Шахтерская улица,420087
Улица Шевченко,420054
Улица Шигабутдина Марджани,420021
Широкая улица,420030
Улица Шишкина,420059
Улица Школьная (Борисоглебское),420098
Улица Школьная (Кадышево),420099
Улица Школьная (Константиновка),420083
Улица Школьная (Краснооктябрьский),420051
Улица Школьная (Малые Дербышки),420096
Улица Школьная (Петровский),420070
Шмелиная улица,420140
Улица Шомыртлы,420091
Шоссейная улица,420032
Улица Шоссейная (Борисоглебское),420098
Улица Шоссейная (Новая Сосновка),420071
Шоссейный переулок,420032
Шпаковская улица,420070
Улица Шульгина,420032
Шумная улица,420076
Улица Щапова,420012
Улица Щедрина,420102
Улица Щепкина,420012
Щербаковский переулок,420012
Улица Щорса,420105
Улица Щукина,420079
Улица Эдгема Тенишева,420083
Переулок Экият,420140
Улица Электрика,420056
Улица Эмет,420129
Улица Энгельса,420032
Улица Энже,420088
Улица Энтузиастов,420075
Улица Эш Урам,420108
Юбилейная улица,420004
Улица Юбилейная (Салмачи),420129
Югославская улица,420051
Югославский переулок,420051
Юдинская улица,420105
Южно-Промышленная улица,420005
Улица Юкэ,420064
Улица Юл Урам,420108
Юл Урам 1-й переулок,420108
Юл Урам 2-й переулок,420108
Улица Юлдаш,420076
Улица Юмарт,420129
Улица Юности,420075
Улица Юсуфа Акчурина,420056
Ютазинская улица,420006
Яблоневый переулок,420079
Ягодная улица,420056
Ягодный переулок,420083
Улица Яз,420091
Улица Якташлар,420140
Улица Якты,420056
Переулок Якты Юл,420054
Улица Якын,420129
Переулок Ялан,420140
Улица Ялан,420076
Улица Ялкын,420051
Улица Яловице,420051
Ялтинская улица,420047
Ямская улица,420021
Улица Ямьле,420088
Улица Яна Юдина,420078
Улица Янки Купалы,420085
Янтарная улица,420099
Улица Япеева,420111
Яранская улица,420094
Улица Ярослава Гашека,420094
Улица Яруллина,420066
Ясеневый переулок,420079
Улица Ясмин,420083
Ясная улица,420055
Яснополянская улица,420053
Яснополянский переулок,420053
Улица Яфраклы,420140
Улица Яшель,420021
Улица Яшляр,420021
Улица Яшь кечь (Кадышево),420099
Улица Яшьлек,420129
